date,total_cases,daily_cases,active_cases,total_deaths,daily_deaths
2020-02-15,1,,0.0,0,
2020-02-16,1,0.0,0.0,0,
2020-02-17,1,0.0,0.0,0,
2020-02-18,1,0.0,0.0,0,
2020-02-19,1,0.0,0.0,0,
2020-02-20,1,0.0,0.0,0,0.0
2020-02-21,1,0.0,0.0,0,0.0
2020-02-22,1,0.0,0.0,0,0.0
2020-02-23,1,0.0,0.0,0,0.0
2020-02-24,1,0.0,0.0,0,0.0
2020-02-25,1,0.0,0.0,0,0.0
2020-02-26,1,0.0,0.0,0,0.0
2020-02-27,1,0.0,0.0,0,0.0
2020-02-28,1,0.0,0.0,0,0.0
2020-02-29,1,0.0,0.0,0,0.0
2020-03-01,2,1.0,1.0,0,0.0
2020-03-02,8,6.0,7.0,0,0.0
2020-03-03,15,7.0,14.0,0,0.0
2020-03-04,23,8.0,22.0,0,0.0
2020-03-05,50,27.0,49.0,0,0.0
2020-03-06,109,59.0,108.0,0,0.0
2020-03-07,169,60.0,168.0,0,0.0
2020-03-08,200,31.0,199.0,0,0.0
2020-03-09,239,39.0,238.0,0,0.0
2020-03-10,267,28.0,266.0,0,0.0
2020-03-11,314,47.0,310.0,3,3.0
2020-03-12,399,85.0,395.0,3,0.0
2020-03-13,559,160.0,555.0,3,0.0
2020-03-14,689,130.0,684.0,4,1.0
2020-03-15,886,197.0,881.0,4,0.0
2020-03-16,1058,172.0,1047.0,10,6.0
2020-03-17,1243,185.0,1219.0,10,0.0
2020-03-18,1486,243.0,1441.0,14,4.0
2020-03-19,1795,309.0,1609.0,21,7.0
2020-03-20,2257,462.0,2016.0,37,16.0
2020-03-21,2815,558.0,2485.0,67,30.0
2020-03-22,3401,586.0,3063.0,75,8.0
2020-03-23,3743,342.0,3254.0,88,13.0
2020-03-24,4269,526.0,3686.0,122,34.0
2020-03-25,4937,668.0,4212.0,178,56.0
2020-03-26,6235,1298.0,5340.0,220,42.0
2020-03-27,7284,1049.0,6137.0,289,69.0
2020-03-28,9134,1850.0,7718.0,353,64.0
2020-03-29,10836,1702.0,9046.0,431,78.0
2020-03-30,11899,1063.0,9859.0,513,82.0
2020-03-31,12775,876.0,10374.0,705,192.0
2020-04-01,13964,1189.0,11004.0,828,123.0
2020-04-02,15348,1384.0,11842.0,1011,183.0
2020-04-03,16770,1422.0,12755.0,1143,132.0
2020-04-04,18431,1661.0,13901.0,1283,140.0
2020-04-05,19691,1260.0,14493.0,1447,164.0
2020-04-06,20814,1123.0,15196.0,1632,185.0
2020-04-07,22194,1380.0,16002.0,2035,403.0
2020-04-08,23403,1209.0,16482.0,2240,205.0
2020-04-09,24983,1580.0,17296.0,2523,283.0
2020-04-10,26667,1684.0,18080.0,3019,496.0
2020-04-11,28018,1351.0,18686.0,3346,327.0
2020-04-12,29647,1629.0,19584.0,3600,254.0
2020-04-13,30589,942.0,19979.0,3903,303.0
2020-04-14,31119,530.0,20094.0,4157,254.0
2020-04-15,33573,2454.0,22026.0,4440,283.0
2020-04-16,34809,1236.0,22390.0,4857,417.0
2020-04-17,36138,1329.0,23014.0,5163,306.0
2020-04-18,37183,1045.0,23382.0,5453,290.0
2020-04-19,38496,1313.0,24056.0,5683,230.0
2020-04-20,39983,1487.0,25260.0,5828,145.0
2020-04-21,40956,973.0,25956.0,5998,170.0
2020-04-22,41889,933.0,26194.0,6262,264.0
2020-04-23,42797,908.0,26507.0,6490,228.0
2020-04-24,44293,1496.0,27492.0,6679,189.0
2020-04-25,45325,1032.0,27991.0,6917,238.0
2020-04-26,46134,809.0,28255.0,7094,177.0
2020-04-27,46687,553.0,28602.0,7207,113.0
2020-04-28,47334,647.0,29060.0,7331,124.0
2020-04-29,47859,525.0,29075.0,7501,170.0
2020-04-30,48519,660.0,29349.0,7594,93.0
2020-05-01,49032,513.0,29437.0,7703,109.0
2020-05-02,49517,485.0,29541.0,7765,62.0
2020-05-03,49906,389.0,29753.0,7844,79.0
2020-05-04,50267,361.0,29965.0,7924,80.0
2020-05-05,50509,242.0,30052.0,8016,92.0
2020-05-06,50781,272.0,29711.0,8339,323.0
2020-05-07,51420,639.0,30025.0,8415,76.0
2020-05-08,52011,591.0,30289.0,8521,106.0
2020-05-09,52596,585.0,30604.0,8581,60.0
2020-05-10,53081,485.0,30783.0,8656,75.0
2020-05-11,53449,368.0,31045.0,8707,51.0
2020-05-12,53779,330.0,31286.0,8761,54.0
2020-05-13,53981,202.0,31201.0,8843,82.0
2020-05-14,54288,307.0,31274.0,8903,60.0
2020-05-15,54644,356.0,31384.0,8959,56.0
2020-05-16,54989,345.0,31524.0,9005,46.0
2020-05-17,55280,291.0,31598.0,9052,47.0
2020-05-18,55559,279.0,31822.0,9080,28.0
2020-05-19,55791,232.0,31996.0,9108,28.0
2020-05-20,55983,192.0,31986.0,9150,42.0
2020-05-21,56235,252.0,32061.0,9186,36.0
2020-05-22,56511,276.0,32176.0,9212,26.0
2020-05-23,56810,299.0,32418.0,9237,25.0
2020-05-24,57092,282.0,32540.0,9280,43.0
2020-05-25,57342,250.0,32733.0,9312,32.0
2020-05-26,57455,113.0,32801.0,9334,22.0
2020-05-27,57592,137.0,32763.0,9364,30.0
2020-05-28,57849,257.0,32889.0,9388,24.0
2020-05-29,58061,212.0,32949.0,9430,42.0
2020-05-30,58186,125.0,32964.0,9453,23.0
2020-05-31,58381,195.0,33027.0,9467,14.0
2020-06-01,58517,136.0,33112.0,9486,19.0
2020-06-02,58615,98.0,33176.0,9505,19.0
2020-06-03,58685,70.0,33204.0,9522,17.0
