date,total_cases,daily_cases,active_cases,total_deaths,daily_deaths
2020-02-15,8,null,7,0,null
2020-02-16,8,0,7,0,null
2020-02-17,8,0,7,0,null
2020-02-18,8,0,7,0,null
2020-02-19,8,0,7,0,null
2020-02-20,8,0,6,0,0
2020-02-21,9,1,6,0,0
2020-02-22,9,0,6,0,0
2020-02-23,10,1,7,0,0
2020-02-24,11,1,8,0,0
2020-02-25,11,0,8,0,0
2020-02-26,12,1,9,0,0
2020-02-27,14,2,11,0,0
2020-02-28,15,1,12,0,0
2020-02-29,20,5,16,0,0
2020-03-01,24,4,20,0,0
2020-03-02,27,3,20,0,0
2020-03-03,30,3,23,0,0
2020-03-04,34,4,27,0,0
2020-03-05,37,3,29,0,0
2020-03-06,54,17,46,0,0
2020-03-07,60,6,52,0,0
2020-03-08,66,6,58,0,0
2020-03-09,77,11,68,1,1
2020-03-10,95,18,86,1,0
2020-03-11,110,15,100,1,0
2020-03-12,142,32,130,1,0
2020-03-13,198,56,186,1,0
2020-03-14,252,54,240,1,0
2020-03-15,341,89,329,1,0
2020-03-16,441,100,426,4,3
2020-03-17,598,157,578,8,4
2020-03-18,727,129,706,9,1
2020-03-19,873,146,850,12,3
2020-03-20,1087,214,1061,12,0
2020-03-21,1328,241,1295,19,7
2020-03-22,1470,142,1436,20,1
2020-03-23,2091,621,1747,24,4
2020-03-24,2792,701,2654,26,2
2020-03-25,3409,617,3188,36,10
2020-03-26,4043,634,3776,39,3
2020-03-27,4757,714,4348,55,16
2020-03-28,5655,898,5199,60,5
2020-03-29,6320,665,5682,65,5
2020-03-30,7448,1128,6266,89,24
2020-03-31,8612,1164,7269,101,12
2020-04-01,9731,1119,7881,114,13
2020-04-02,11283,1552,9131,173,59
2020-04-03,12375,1092,9981,208,35
2020-04-04,13912,1537,11086,231,23
2020-04-05,15512,1600,12290,280,49
2020-04-06,16667,1155,12728,323,43
2020-04-07,17897,1230,13488,381,58
2020-04-08,19438,1541,14463,427,46
2020-04-09,20765,1327,14945,509,82
2020-04-10,22148,1383,15566,569,60
2020-04-11,23318,1170,16237,653,84
2020-04-12,24383,1065,16494,717,64
2020-04-13,25680,1297,17144,780,63
2020-04-14,27063,1383,17925,903,123
2020-04-15,28379,1316,18390,1010,107
2020-04-16,30106,1727,19182,1195,185
2020-04-17,31927,1821,20074,1310,115
2020-04-18,33383,1456,20706,1470,160
2020-04-19,35056,1673,21626,1587,117
2020-04-20,36829,1773,22553,1690,103
2020-04-21,38422,1593,23400,1834,144
2020-04-22,40190,1768,24230,1974,140
2020-04-23,42110,1920,25202,2147,173
2020-04-24,43888,1778,26117,2302,155
2020-04-25,45354,1466,26464,2465,163
2020-04-26,46895,1541,27014,2560,95
2020-04-27,48500,1605,27525,2707,147
2020-04-28,50026,1526,27977,2859,152
2020-04-29,51597,1571,28274,2996,137
2020-04-30,53236,1639,28629,3184,188
2020-05-01,55061,1825,28919,3391,207
2020-05-02,56714,1653,29347,3566,175
2020-05-03,59474,2760,30884,3682,116
2020-05-04,60772,1298,30901,3854,172
2020-05-05,62046,1274,31010,4043,189
2020-05-06,63496,1450,31093,4232,189
2020-05-07,64922,1426,31542,4408,176
2020-05-08,66434,1512,31459,4569,161
2020-05-09,67702,1268,31760,4693,124
2020-05-10,68848,1146,31882,4870,177
2020-05-11,69981,1133,31994,4993,123
2020-05-12,71157,1176,31946,5169,176
2020-05-13,72278,1121,31812,5302,133
2020-05-14,73401,1123,31838,5472,170
2020-05-15,74613,1212,32156,5562,90
2020-05-16,75864,1251,32366,5679,117
2020-05-17,77002,1138,32670,5782,103
2020-05-18,78072,1070,33002,5842,60
2020-05-19,79112,1040,33150,5912,70
2020-05-20,80142,1030,33335,6031,119
2020-05-21,81324,1182,33457,6152,121
2020-05-22,82480,1156,33636,6250,98
2020-05-23,83621,1141,33961,6355,105
2020-05-24,84699,1078,34290,6424,69
2020-05-25,85711,1012,34528,6545,121
2020-05-26,86647,936,34669,6639,94
2020-05-27,87519,872,34590,6765,126
2020-05-28,88512,993,34795,6877,112
2020-05-29,89418,906,34921,6979,102
2020-05-30,90190,772,35014,7073,94
2020-05-31,90947,757,34773,7295,222
2020-06-01,91705,758,34653,7326,31
2020-06-02,92410,705,34658,7395,69
2020-06-03,93085,675,34539,7498,103
2020-06-04,93726,641,34350,7637,139
2020-06-05,94335,609,34064,7703,66
