date,total_cases,daily_cases,active_cases,total_deaths,daily_deaths
2020-02-15,0,null,0,0,null
2020-02-16,0,null,0,0,null
2020-02-17,0,null,0,0,null
2020-02-18,0,null,0,0,null
2020-02-19,0,null,0,0,null
2020-02-20,0,null,0,0,null
2020-02-21,0,null,0,0,null
2020-02-22,0,null,0,0,null
2020-02-23,0,null,0,0,null
2020-02-24,0,null,0,0,null
2020-02-25,0,null,0,0,null
2020-02-26,0,null,0,0,null
2020-02-27,0,null,0,0,null
2020-02-28,0,null,0,0,null
2020-02-29,0,null,0,0,null
2020-03-01,0,null,0,0,null
2020-03-02,0,null,0,0,null
2020-03-03,1,null,1,0,null
2020-03-04,3,2,3,0,null
2020-03-05,4,1,4,0,null
2020-03-06,5,1,5,0,null
2020-03-07,7,2,7,0,null
2020-03-08,10,3,10,0,null
2020-03-09,13,3,13,0,null
2020-03-10,17,4,17,0,null
2020-03-11,23,6,23,0,null
2020-03-12,33,10,33,0,null
2020-03-13,43,10,43,0,null
2020-03-14,61,18,61,0,null
2020-03-15,75,14,75,0,null
2020-03-16,156,81,156,0,null
2020-03-17,201,45,201,0,null
2020-03-18,238,37,238,0,null
2020-03-19,342,104,342,0,null
2020-03-20,434,92,428,0,null
2020-03-21,537,103,528,1,null
2020-03-22,632,95,623,1,0
2020-03-23,746,114,733,2,1
2020-03-24,922,176,903,2,0
2020-03-25,1142,220,1117,3,1
2020-03-26,1306,164,1280,4,1
2020-03-27,1610,304,1562,5,1
2020-03-28,1909,299,1842,6,1
2020-03-29,2139,230,2057,7,1
2020-03-30,2449,310,2285,8,1
2020-03-31,2738,289,2570,12,4
2020-04-01,3031,293,2781,16,4
2020-04-02,3404,373,3051,18,2
2020-04-03,3737,333,3288,22,4
2020-04-04,4161,424,3606,27,5
2020-04-05,4471,310,3819,34,7
2020-04-06,4815,344,4050,37,3
2020-04-07,5116,301,4175,43,6
2020-04-08,5546,430,4383,48,5
2020-04-09,5972,426,4641,57,9
2020-04-10,6501,529,4865,65,8
2020-04-11,6927,426,4990,73,8
2020-04-12,7213,286,5074,80,7
2020-04-13,7525,312,5076,82,2
2020-04-14,7917,392,5179,92,10
2020-04-15,8273,356,5242,94,2
2020-04-16,8807,534,5403,105,11
2020-04-17,9252,445,5515,116,11
2020-04-18,9730,478,5569,126,10
2020-04-19,10088,358,5617,133,7
2020-04-20,10507,419,5692,139,6
2020-04-21,10832,325,5716,147,8
2020-04-22,11296,464,5750,160,13
2020-04-23,11812,516,5840,168,8
2020-04-24,12306,494,5805,174,6
2020-04-25,12858,552,5931,181,7
2020-04-26,13331,473,6118,189,8
2020-04-27,13813,482,6288,198,9
2020-04-28,14365,552,6448,207,9
2020-04-29,14885,520,6612,216,9
2020-04-30,16023,1138,7216,227,11
2020-05-01,17008,985,7756,234,7
2020-05-02,18435,1427,8616,247,13
2020-05-03,19663,1228,9362,260,13
2020-05-04,20643,980,9958,270,10
2020-05-05,22016,1373,11031,275,5
2020-05-06,23048,1032,11578,281,6
2020-05-07,24581,1533,12632,285,4
2020-05-08,25972,1391,13518,294,9
2020-05-09,27219,1247,14248,304,10
2020-05-10,28866,1647,15442,312,8
2020-05-11,30063,1197,16135,323,11
2020-05-12,31721,1658,17261,335,12
2020-05-13,34381,2660,19170,346,11
2020-05-14,37040,2659,21017,368,22
2020-05-15,39542,2502,22534,394,26
2020-05-16,41428,1886,22993,421,27
2020-05-17,43781,2353,24118,450,29
2020-05-18,46059,2278,25416,478,28
2020-05-19,49579,3520,27563,509,31
2020-05-20,53617,4038,30569,544,35
2020-05-21,57581,3964,33000,589,45
2020-05-22,61857,4276,35885,630,41
2020-05-23,65393,3536,38174,673,43
2020-05-24,69102,3709,40236,718,45
2020-05-25,73997,4895,43934,761,43
2020-05-26,77961,3964,46240,806,45
2020-05-27,82289,4328,47908,841,35
2020-05-28,86943,4654,49903,890,49
2020-05-29,90638,3695,51096,944,54
2020-05-30,94858,4220,53430,997,53
2020-05-31,99688,4830,55907,1054,57
2020-06-01,105159,5471,59100,1113,59
2020-06-02,108686,3527,62552,1188,75
2020-06-03,113628,4942,26180,1275,87
2020-06-04,118292,4664,26188,1356,81
2020-06-05,122499,4207,25420,1448,92
2020-06-06,127745,5246,30573,1541,93
2020-06-07,134150,6405,36329,2190,649
