date,total_cases,daily_cases,active_cases,total_deaths,daily_deaths
2020-01-22,571,,554.0,17,
2020-01-23,830,259.0,771.0,25,8.0
2020-01-24,1287,457.0,1208.0,41,16.0
2020-01-25,1975,688.0,1870.0,56,15.0
2020-01-26,2744,769.0,2613.0,80,24.0
2020-01-27,4515,1771.0,4349.0,106,26.0
2020-01-28,5974,1459.0,5739.0,132,26.0
2020-01-29,7711,1737.0,7417.0,170,38.0
2020-01-30,9692,1981.0,9308.0,213,43.0
2020-01-31,11791,2099.0,11289.0,259,46.0
2020-02-01,14380,2589.0,13748.0,304,45.0
2020-02-02,17205,2825.0,16369.0,361,57.0
2020-02-03,20440,3235.0,19383.0,425,64.0
2020-02-04,24324,3884.0,22942.0,490,65.0
2020-02-05,28018,3694.0,26302.0,563,73.0
2020-02-06,31161,3143.0,28985.0,636,73.0
2020-02-07,34546,3385.0,31774.0,722,86.0
2020-02-08,37198,2652.0,33738.0,811,89.0
2020-02-09,40171,2973.0,35982.0,908,97.0
2020-02-10,42638,2467.0,37626.0,1016,108.0
2020-02-11,44653,2015.0,38791.0,1113,97.0
2020-02-12,58761,14108.0,51591.0,1259,146.0
2020-02-13,63851,5090.0,55748.0,1380,121.0
2020-02-14,66492,2641.0,56873.0,1523,143.0
2020-02-15,68500,2008.0,57416.0,1665,142.0
2020-02-16,70548,2048.0,57934.0,1770,105.0
2020-02-17,72436,1888.0,58016.0,1868,98.0
2020-02-18,74185,1749.0,57805.0,2004,136.0
2020-02-19,74576,391.0,56301.0,2118,114.0
2020-02-20,75465,889.0,54921.0,2236,118.0
2020-02-21,76288,823.0,53284.0,2345,109.0
2020-02-22,76936,648.0,52093.0,2442,97.0
2020-02-23,77150,214.0,49824.0,2592,150.0
2020-02-24,77658,508.0,47765.0,2663,71.0
2020-02-25,78064,406.0,45600.0,2715,52.0
2020-02-26,78497,433.0,43258.0,2744,29.0
2020-02-27,78824,327.0,39919.0,2788,44.0
2020-02-28,79251,427.0,37414.0,2835,47.0
2020-02-29,79824,573.0,35129.0,2870,35.0
2020-03-01,80026,202.0,32616.0,2912,42.0
2020-03-02,80151,125.0,30004.0,2943,31.0
2020-03-03,80270,119.0,27423.0,2981,38.0
2020-03-04,80409,139.0,25353.0,3012,31.0
2020-03-05,80552,143.0,23784.0,3042,30.0
2020-03-06,80651,99.0,22179.0,3070,28.0
2020-03-07,80695,44.0,20533.0,3097,27.0
2020-03-08,80735,40.0,19016.0,3119,22.0
2020-03-09,80754,19.0,17721.0,3136,17.0
2020-03-10,80778,24.0,16136.0,3158,22.0
2020-03-11,80793,15.0,14831.0,3169,11.0
2020-03-12,80813,20.0,13524.0,3176,7.0
2020-03-13,80824,11.0,12088.0,3189,13.0
2020-03-14,80844,20.0,10733.0,3199,10.0
2020-03-15,80860,16.0,9893.0,3213,14.0
2020-03-16,80881,21.0,8967.0,3226,13.0
2020-03-17,80894,13.0,8056.0,3237,11.0
2020-03-18,80928,34.0,7263.0,3245,8.0
2020-03-19,80967,39.0,6569.0,3248,3.0
2020-03-20,81008,41.0,6013.0,3255,7.0
2020-03-21,81054,46.0,5353.0,3261,6.0
2020-03-22,81093,39.0,5120.0,3270,9.0
2020-03-23,81171,78.0,4735.0,3277,7.0
2020-03-24,81218,47.0,4287.0,3281,4.0
2020-03-25,81285,67.0,3947.0,3287,6.0
2020-03-26,81340,55.0,3460.0,3292,5.0
2020-03-27,81394,54.0,3128.0,3295,3.0
2020-03-28,81439,45.0,2691.0,3300,5.0
2020-03-29,81439,0.0,2691.0,3300,0.0
2020-03-30,81518,79.0,2161.0,3305,5.0
2020-03-31,81554,36.0,2004.0,3312,7.0
2020-04-01,81589,35.0,1863.0,3318,6.0
2020-04-02,81620,31.0,1727.0,3322,4.0
2020-04-03,81639,19.0,1558.0,3326,4.0
2020-04-04,81669,30.0,1376.0,3329,3.0
2020-04-05,81708,39.0,1299.0,3331,2.0
2020-04-06,81740,32.0,1242.0,3331,0.0
2020-04-07,81802,62.0,1190.0,3333,2.0
2020-04-08,81865,63.0,1160.0,3335,2.0
2020-04-09,81907,42.0,1116.0,3336,1.0
2020-04-10,81953,46.0,1089.0,3339,3.0
2020-04-11,82052,99.0,1138.0,3339,0.0
2020-04-12,82160,108.0,1156.0,3341,2.0
2020-04-13,82249,89.0,1170.0,3341,0.0
2020-04-14,82295,46.0,1137.0,3342,1.0
2020-04-15,82341,46.0,1107.0,3342,0.0
2020-04-16,82367,26.0,1081.0,3342,0.0
2020-04-17,82692,325.0,66.0,4632,1290.0
2020-04-18,82719,27.0,1058.0,4632,0.0
2020-04-19,82735,16.0,1041.0,4632,0.0
2020-04-20,82747,12.0,1031.0,4632,0.0
2020-04-21,82758,11.0,1003.0,4632,0.0
2020-04-22,82788,30.0,1005.0,4632,0.0
2020-04-23,82798,10.0,959.0,4632,0.0
2020-04-24,82804,6.0,915.0,4632,0.0
2020-04-25,82816,12.0,838.0,4632,0.0
2020-04-26,82827,11.0,801.0,4632,0.0
2020-04-27,82830,3.0,723.0,4633,1.0
2020-04-28,82836,6.0,648.0,4633,0.0
2020-04-29,82858,22.0,647.0,4633,0.0
2020-04-30,82862,4.0,619.0,4633,0.0
2020-05-01,82874,12.0,599.0,4633,0.0
2020-05-02,82875,1.0,557.0,4633,0.0
2020-05-03,82877,2.0,531.0,4633,0.0
2020-05-04,82880,3.0,481.0,4633,0.0
2020-05-05,82881,1.0,395.0,4633,0.0
2020-05-06,82883,2.0,339.0,4633,0.0
2020-05-07,82885,2.0,295.0,4633,0.0
2020-05-08,82886,1.0,260.0,4633,0.0
2020-05-09,82887,1.0,208.0,4633,0.0
2020-05-10,82901,14.0,148.0,4633,0.0
2020-05-11,82918,17.0,141.0,4633,0.0
2020-05-12,82919,1.0,115.0,4633,0.0
2020-05-13,82926,7.0,104.0,4633,0.0
2020-05-14,82929,3.0,101.0,4633,0.0
2020-05-15,82933,4.0,91.0,4633,0.0
2020-05-16,82941,8.0,89.0,4633,0.0
2020-05-17,82947,6.0,86.0,4634,1.0
2020-05-18,82954,7.0,82.0,4634,0.0
2020-05-19,82960,6.0,85.0,4634,0.0
2020-05-20,82965,5.0,87.0,4634,0.0
2020-05-21,82967,2.0,84.0,4634,0.0
2020-05-22,82971,4.0,82.0,4634,0.0
2020-05-23,82971,0.0,79.0,4634,0.0
2020-05-24,82974,3.0,79.0,4634,0.0
2020-05-25,82985,11.0,83.0,4634,0.0
2020-05-26,82992,7.0,81.0,4634,0.0
2020-05-27,82993,1.0,79.0,4634,0.0
2020-05-28,82995,2.0,73.0,4634,0.0
2020-05-29,82995,0.0,70.0,4634,0.0
2020-05-30,82999,4.0,63.0,4634,0.0
2020-05-31,83001,2.0,63.0,4634,0.0
2020-06-01,83017,16.0,76.0,4634,0.0
2020-06-02,83021,4.0,72.0,4634,0.0
2020-06-03,83021,0.0,73.0,4634,0.0
2020-06-04,83022,1.0,69.0,4634,0.0
2020-06-06,83025,3.0,64.0,4634,
