date,total_cases,daily_cases,active_cases,total_deaths,daily_deaths
2020-02-15,12,null,7,1,null
2020-02-16,12,0,7,1,0
2020-02-17,12,0,6,1,0
2020-02-18,12,0,4,1,0
2020-02-19,12,0,4,1,0
2020-02-20,12,0,4,1,0
2020-02-21,12,0,4,1,0
2020-02-22,12,0,1,1,0
2020-02-23,12,0,1,1,0
2020-02-24,12,0,0,1,0
2020-02-25,14,2,2,1,0
2020-02-26,18,4,5,2,1
2020-02-27,38,20,25,2,0
2020-02-28,57,19,44,2,0
2020-02-29,100,43,86,2,0
2020-03-01,130,30,116,2,0
2020-03-02,191,61,176,3,1
2020-03-03,212,21,196,4,1
2020-03-04,285,73,269,4,0
2020-03-05,423,138,404,7,3
2020-03-06,653,230,632,9,2
2020-03-07,949,296,921,16,7
2020-03-08,1209,260,1178,19,3
2020-03-09,1412,203,1370,30,11
2020-03-10,1784,372,1739,33,3
2020-03-11,2281,497,2221,48,15
2020-03-12,2876,595,2803,61,13
2020-03-13,3661,785,3570,79,18
2020-03-14,4499,838,4396,91,12
2020-03-15,5423,924,5284,127,36
2020-03-16,6633,1210,6473,148,21
2020-03-17,7730,1097,6953,175,27
2020-03-18,9134,1404,8268,264,89
2020-03-19,10995,1861,9328,372,108
2020-03-20,12612,1617,10575,450,78
2020-03-21,14459,1847,12310,562,112
2020-03-22,16018,1559,13144,674,112
2020-03-23,19856,3838,16796,860,186
2020-03-24,22304,2448,17923,1100,240
2020-03-25,25233,2929,20002,1331,231
2020-03-26,29155,3922,22511,1696,365
2020-03-27,32964,3809,25269,1995,299
2020-03-28,37575,4611,29561,2314,319
2020-03-29,40174,2599,30366,2606,292
2020-03-30,44550,4376,33599,3024,418
2020-03-31,52128,7578,39161,3523,499
2020-04-01,56989,4861,42022,4032,509
2020-04-02,59105,2116,41290,5387,1355
2020-04-03,64338,5233,43823,6507,1120
2020-04-04,68605,4267,45607,7560,1053
2020-04-05,70478,1873,46217,8078,518
2020-04-06,74390,3912,48229,8911,833
2020-04-07,78167,3777,48502,10328,1417
2020-04-08,82048,3881,49925,10869,541
2020-04-09,86334,4286,50918,12210,1341
2020-04-10,90676,4342,52547,13197,987
2020-04-11,93790,3114,53567,13832,635
2020-04-12,95403,1613,53824,14393,561
2020-04-13,98076,2673,55391,14967,574
2020-04-14,103573,5497,59039,15729,762
2020-04-15,106206,2633,58084,17167,1438
2020-04-16,108847,2641,58115,17920,753
2020-04-17,109252,405,56151,18681,761
2020-04-18,111821,2569,56515,19323,642
2020-04-19,112606,785,56310,19718,395
2020-04-20,114657,2051,56983,20265,547
2020-04-21,117324,2667,57347,20796,531
2020-04-22,119151,1827,57154,21340,544
2020-04-23,120804,1653,56860,21856,516
2020-04-24,122577,1773,56839,22245,389
2020-04-25,124114,1537,56906,22614,369
2020-04-26,124575,461,56816,22856,242
2020-04-27,128339,3764,59533,23293,437
2020-04-28,129859,1520,59313,23660,367
2020-04-29,128442,-1417,56127,24087,427
2020-04-30,129581,1139,55729,24376,289
2020-05-01,130185,604,55379,24594,218
2020-05-02,130979,794,55657,24760,166
2020-05-03,131287,308,55608,24895,135
2020-05-04,131863,576,55291,25201,306
2020-05-05,132967,1104,54700,25531,330
2020-05-06,137150,4183,57369,25809,278
2020-05-07,137779,629,56765,25987,178
2020-05-08,138421,642,56409,26230,243
2020-05-09,138854,433,56506,26310,80
2020-05-10,139063,209,56466,26380,70
2020-05-11,139519,456,56152,26643,263
2020-05-12,140227,708,55451,26991,348
2020-05-13,140734,507,54987,27074,83
2020-05-14,141356,622,54326,27425,351
2020-05-15,141919,563,53942,27529,104
2020-05-16,142291,372,53600,27625,96
2020-05-17,142411,120,53090,28108,483
2020-05-18,142903,492,52936,28239,131
2020-05-19,143427,524,52842,28022,-217
2020-05-20,143845,418,52359,28132,110
2020-05-21,144163,318,52090,28215,83
2020-05-22,144556,393,52058,28289,74
2020-05-23,144806,250,51927,28332,43
2020-05-24,144921,115,51937,28367,35
2020-05-25,145279,358,51648,28432,65
2020-05-26,145555,276,51146,28530,98
2020-05-27,145746,191,50566,28596,66
2020-05-28,149071,3325,53218,28662,66
2020-05-29,149668,597,53151,28714,52
2020-05-30,151496,1828,54457,28771,57
2020-05-31,151753,257,54596,28802,31
2020-06-01,152091,338,54818,28833,31
2020-06-02,151325,-766,53573,28940,107
2020-06-03,151677,352,53201,29021,81
2020-06-04,152444,767,53403,29065,44
2020-06-05,153055,611,53440,29111,46
2020-06-06,153634,579,53686,29142,31
2020-06-07,153977,343,53980,29155,13
