date,total_cases,daily_cases,active_cases,total_deaths,daily_deaths
2020-02-15,16,,13.0,0,
2020-02-16,16,0.0,13.0,0,
2020-02-17,16,0.0,9.0,0,
2020-02-18,16,0.0,7.0,0,
2020-02-19,16,0.0,7.0,0,
2020-02-20,16,0.0,3.0,0,0.0
2020-02-21,16,0.0,2.0,0,0.0
2020-02-22,16,0.0,2.0,0,0.0
2020-02-23,16,0.0,2.0,0,0.0
2020-02-24,16,0.0,2.0,0,0.0
2020-02-25,18,2.0,3.0,0,0.0
2020-02-26,26,8.0,11.0,0,0.0
2020-02-27,48,22.0,32.0,0,0.0
2020-02-28,74,26.0,58.0,0,0.0
2020-02-29,79,5.0,63.0,0,0.0
2020-03-01,130,51.0,114.0,0,0.0
2020-03-02,165,35.0,149.0,0,0.0
2020-03-03,203,38.0,187.0,0,0.0
2020-03-04,262,59.0,246.0,0,0.0
2020-03-05,545,283.0,528.0,0,0.0
2020-03-06,670,125.0,652.0,0,0.0
2020-03-07,800,130.0,782.0,0,0.0
2020-03-08,1040,240.0,1022.0,0,0.0
2020-03-09,1224,184.0,1204.0,2,2.0
2020-03-10,1565,341.0,1545.0,2,0.0
2020-03-11,1966,401.0,1938.0,3,1.0
2020-03-12,2745,779.0,2714.0,6,3.0
2020-03-13,3675,930.0,3621.0,8,2.0
2020-03-14,4599,924.0,4544.0,9,1.0
2020-03-15,5813,1214.0,5754.0,13,4.0
2020-03-16,7272,1459.0,7188.0,17,4.0
2020-03-17,9367,2095.0,9274.0,26,9.0
2020-03-18,12327,2960.0,12194.0,28,2.0
2020-03-19,15320,2993.0,15161.0,44,16.0
2020-03-20,19848,4528.0,19600.0,68,24.0
2020-03-21,22364,2516.0,22071.0,84,16.0
2020-03-22,24873,2509.0,24513.0,94,10.0
2020-03-23,29056,4183.0,28480.0,123,29.0
2020-03-24,32991,3935.0,29542.0,159,36.0
2020-03-25,37323,4332.0,33570.0,206,47.0
2020-03-26,43938,6615.0,37998.0,267,61.0
2020-03-27,50871,6933.0,43862.0,351,84.0
2020-03-28,57695,6824.0,48781.0,433,82.0
2020-03-29,62435,4740.0,52683.0,541,108.0
2020-03-30,66885,4450.0,52740.0,645,104.0
2020-03-31,71808,4923.0,54933.0,775,130.0
2020-04-01,77981,6173.0,58350.0,931,156.0
2020-04-02,84794,6813.0,61247.0,1107,176.0
2020-04-03,91159,6365.0,65309.0,1275,168.0
2020-04-04,96092,4933.0,68248.0,1444,169.0
2020-04-05,100123,4031.0,69839.0,1584,140.0
2020-04-06,103375,3252.0,72865.0,1810,226.0
2020-04-07,107663,4288.0,69566.0,2016,206.0
2020-04-08,113296,5633.0,64647.0,2349,333.0
2020-04-09,118235,4939.0,63221.0,2607,258.0
2020-04-10,122171,3936.0,65522.0,2736,129.0
2020-04-11,125452,3281.0,65181.0,2871,135.0
2020-04-12,127854,2402.0,64532.0,3022,151.0
2020-04-13,130072,2218.0,62578.0,3194,172.0
2020-04-14,132210,2138.0,60515.0,3495,301.0
2020-04-15,134753,2543.0,58349.0,3804,309.0
2020-04-16,137698,2945.0,56646.0,4052,248.0
2020-04-17,141397,3699.0,53931.0,4352,300.0
2020-04-18,143724,2327.0,53786.0,4538,186.0
2020-04-19,145742,2018.0,53100.0,4642,104.0
2020-04-20,147065,1323.0,50703.0,4862,220.0
2020-04-21,148453,1388.0,48167.0,5086,224.0
2020-04-22,150648,2195.0,45933.0,5315,229.0
2020-04-23,153129,2481.0,44254.0,5575,260.0
2020-04-24,154999,1870.0,42439.0,5760,185.0
2020-04-25,156513,1514.0,40836.0,5877,117.0
2020-04-26,157770,1257.0,39794.0,5976,99.0
