date,total_cases,daily_cases,active_cases,total_deaths,daily_deaths
2020-02-15,3,null,3,0,null
2020-02-16,3,0,3,0,null
2020-02-17,3,0,3,0,null
2020-02-18,3,0,3,0,null
2020-02-19,3,0,3,0,null
2020-02-20,4,1,4,0,0
2020-02-21,21,17,19,1,1
2020-02-22,79,58,75,2,1
2020-02-23,157,78,152,3,1
2020-02-24,229,72,221,7,4
2020-02-25,323,94,310,11,4
2020-02-26,470,147,455,12,1
2020-02-27,655,185,593,17,5
2020-02-28,889,234,822,21,4
2020-02-29,1128,239,1049,29,8
2020-03-01,1701,573,1577,41,12
2020-03-02,2036,335,1835,52,11
2020-03-03,2502,466,2263,79,27
2020-03-04,3089,587,2706,107,28
2020-03-05,3858,769,3296,148,41
2020-03-06,4636,778,3916,197,49
2020-03-07,5883,1247,5061,233,36
2020-03-08,7375,1492,6387,366,133
2020-03-09,9172,1797,7985,463,97
2020-03-10,10149,977,8514,631,168
2020-03-11,12462,2313,10590,827,196
2020-03-12,15113,2651,12839,1016,189
2020-03-13,17660,2547,14955,1266,250
2020-03-14,21157,3497,17750,1441,175
2020-03-15,24747,3590,20603,1809,368
2020-03-16,27980,3233,23073,2158,349
2020-03-17,31506,3526,26062,2503,345
2020-03-18,35713,4207,28710,2978,475
2020-03-19,41035,5322,33190,3405,427
2020-03-20,47021,5986,37860,4032,627
2020-03-21,53578,6557,42681,4825,793
2020-03-22,59138,5560,46638,5476,651
2020-03-23,63927,4789,50418,6077,601
2020-03-24,69176,5249,54030,6820,743
2020-03-25,74386,5210,57521,7503,683
2020-03-26,80589,6203,62013,8215,712
2020-03-27,86498,5909,66414,9134,919
2020-03-28,92472,5974,70065,10023,889
2020-03-29,97689,5217,73880,10779,756
2020-03-30,101739,4050,75528,11591,812
2020-03-31,105792,4053,77635,12428,837
2020-04-01,110574,4782,80572,13155,727
2020-04-02,115242,4668,83049,13915,760
2020-04-03,119827,4585,85388,14681,766
2020-04-04,124632,4805,88274,15362,681
2020-04-05,128948,4316,91246,15887,525
2020-04-06,132547,3599,93187,16523,636
2020-04-07,135586,3039,94067,17127,604
2020-04-08,139422,3836,95262,17669,542
2020-04-09,143626,4204,96877,18279,610
2020-04-10,147577,3951,98273,18849,570
2020-04-11,152271,4694,100269,19468,619
2020-04-12,156363,4092,102253,19899,431
2020-04-13,159516,3153,103616,20465,566
2020-04-14,162488,2972,104291,21067,602
2020-04-15,165155,2667,105418,21645,578
2020-04-16,168941,3786,106607,22170,525
2020-04-17,172434,3493,106962,22745,575
2020-04-18,175925,3491,107771,23227,482
2020-04-19,178972,3047,108257,23660,433
2020-04-20,181228,2256,108237,24114,454
2020-04-21,183957,2729,107709,24648,534
2020-04-22,187327,3370,107699,25085,437
2020-04-23,189973,2646,106848,25549,464
2020-04-24,192994,3021,106527,25969,420
2020-04-25,195351,2357,105847,26384,415
2020-04-26,197675,2324,106103,26644,260
2020-04-27,199414,1739,105813,26977,333
2020-04-28,201505,2091,105205,27359,382
2020-04-29,203591,2086,104657,27682,323
2020-04-30,205463,1872,101551,27967,285
2020-05-01,207428,1965,100943,28236,269
2020-05-02,209328,1900,100704,28710,474
2020-05-03,210717,1389,100179,28884,174
2020-05-04,211938,1221,99980,29079,195
2020-05-05,213013,1075,98467,29315,236
2020-05-06,214457,1444,91528,29684,369
2020-05-07,215858,1401,89624,29958,274
2020-05-08,217185,1327,87961,30201,243
2020-05-09,218268,1083,84842,30395,194
2020-05-10,219070,802,83324,30560,165
2020-05-11,219814,744,82488,30739,179
2020-05-12,221216,1402,81266,30911,172
2020-05-13,222104,888,78457,31106,195
2020-05-14,223096,992,76440,31368,262
2020-05-15,223885,789,72070,31610,242
2020-05-16,224760,875,70187,31763,153
2020-05-17,225435,675,68351,31908,145
2020-05-18,225886,451,66553,32007,99
2020-05-19,226699,813,65129,32169,162
2020-05-20,227364,665,62752,32330,161
2020-05-21,228006,642,60960,32486,156
2020-05-22,228658,652,59322,32616,130
2020-05-23,229327,669,57752,32735,119
2020-05-24,229858,531,56594,32785,50
2020-05-25,230158,300,55300,32877,92
2020-05-26,230555,397,52942,32955,78
2020-05-27,231139,584,50966,33072,117
2020-05-28,231732,593,47986,33142,70
2020-05-29,232248,516,46175,33229,87
2020-05-30,232664,416,43691,33340,111
2020-05-31,232997,333,42075,33415,75
2020-06-01,233197,200,41367,33475,60
2020-06-02,233515,318,39893,33530,55
2020-06-03,233836,321,39297,33601,71
2020-06-04,234013,177,38429,33689,88
2020-06-05,234531,518,36976,33774,85
