date,total_cases,daily_cases,active_cases,total_deaths,daily_deaths
2020-02-15,0,null,0,0,null
2020-02-16,0,null,0,0,null
2020-02-17,0,null,0,0,null
2020-02-18,0,null,0,0,null
2020-02-19,0,null,0,0,null
2020-02-20,0,null,0,0,null
2020-02-21,0,null,0,0,null
2020-02-22,0,null,0,0,null
2020-02-23,0,null,0,0,null
2020-02-24,0,null,0,0,null
2020-02-25,0,null,0,0,null
2020-02-26,0,null,0,0,null
2020-02-27,0,null,0,0,null
2020-02-28,2,null,2,0,null
2020-02-29,4,2,4,0,0
2020-03-01,5,1,5,0,0
2020-03-02,6,1,6,0,0
2020-03-03,6,0,5,0,0
2020-03-04,6,0,5,0,0
2020-03-05,6,0,5,0,0
2020-03-06,6,0,5,0,0
2020-03-07,6,0,5,0,0
2020-03-08,7,1,6,0,0
2020-03-09,7,0,3,0,0
2020-03-10,7,0,3,0,0
2020-03-11,11,4,7,0,0
2020-03-12,12,1,8,0,0
2020-03-13,15,3,11,0,0
2020-03-14,26,11,22,0,0
2020-03-15,43,17,39,0,0
2020-03-16,53,10,49,0,0
2020-03-17,82,29,78,0,0
2020-03-18,93,11,89,0,0
2020-03-19,118,25,113,1,1
2020-03-20,164,46,159,1,0
2020-03-21,203,39,197,2,1
2020-03-22,251,48,245,2,0
2020-03-23,316,65,309,3,1
2020-03-24,367,51,359,4,1
2020-03-25,405,38,396,5,1
2020-03-26,475,70,465,6,1
2020-03-27,585,110,573,8,2
2020-03-28,717,132,701,12,4
2020-03-29,848,131,797,16,4
2020-03-30,993,145,938,20,4
2020-03-31,1094,101,1031,28,8
2020-04-01,1215,121,1151,29,1
2020-04-02,1378,163,1306,37,8
2020-04-03,1510,132,827,50,13
2020-04-04,1688,178,995,60,10
2020-04-05,1890,202,1178,79,19
2020-04-06,2143,253,1416,94,15
2020-04-07,2439,296,1681,125,31
2020-04-08,2785,346,2011,141,16
2020-04-09,3181,396,2374,174,33
2020-04-10,3441,260,2614,194,20
2020-04-11,3844,403,2978,233,39
2020-04-12,4219,375,2174,273,40
2020-04-13,4661,442,2522,296,23
2020-04-14,5014,353,2718,332,36
2020-04-15,5399,385,2868,406,74
2020-04-16,5847,448,3273,449,43
2020-04-17,6297,450,3686,486,37
2020-04-18,6875,578,4204,546,60
2020-04-19,7497,622,4220,650,104
2020-04-20,8261,764,4948,686,36
2020-04-21,8772,511,5433,712,26
2020-04-22,9501,729,6017,857,145
2020-04-23,10544,1043,6947,970,113
2020-04-24,11633,1089,7937,1069,99
2020-04-25,12872,1239,4502,1221,152
2020-04-26,13842,970,5388,1305,84
2020-04-27,14677,835,4972,1351,46
2020-04-28,15529,852,5009,1434,83
2020-04-29,16752,1223,3760,1569,135
2020-04-30,17799,1047,4644,1732,163
2020-05-01,19224,1425,5942,1859,127
2020-05-02,20739,1515,6390,1972,113
2020-05-03,22088,1349,6580,2061,89
2020-05-04,23471,1383,7870,2154,93
2020-05-05,24905,1434,6696,2271,117
2020-05-06,26025,1120,6708,2507,236
2020-05-07,27634,1609,7149,2704,197
2020-05-08,29616,1982,8874,2961,257
2020-05-09,31522,1906,8048,3160,199
2020-05-10,33460,1938,8283,3353,193
2020-05-11,35022,1562,8457,3465,112
2020-05-12,36327,1305,9654,3573,108
2020-05-13,38324,1997,8463,3926,353
2020-05-14,40186,1862,8976,4220,294
2020-05-15,42595,2409,9643,4477,257
2020-05-16,45032,2437,9814,4767,290
2020-05-17,47144,2112,10251,5045,278
2020-05-18,49219,2075,10713,5177,132
2020-05-19,51633,2414,10913,5332,155
2020-05-20,54346,2713,11355,5666,334
2020-05-21,56594,2248,11628,6090,424
2020-05-22,59567,2973,12400,6510,420
2020-05-23,62527,2960,12813,6989,479
2020-05-24,65856,3329,13758,7179,190
2020-05-25,68620,2764,13802,7394,215
2020-05-26,71105,2485,13582,7633,239
2020-05-27,74560,3455,14207,8134,501
2020-05-28,78023,3463,15043,8597,463
2020-05-29,81400,3377,15718,9044,447
2020-05-30,84627,3227,15602,9415,371
2020-05-31,87512,2885,15862,9779,364
2020-06-01,90664,3152,16408,9930,151
2020-06-02,93435,2771,15777,10167,237
2020-06-03,97326,3891,16381,10637,470
2020-06-04,101238,3912,16238,11729,1092
