date,total_cases,daily_cases,active_cases,total_deaths,daily_deaths
2020-02-15,0,null,0,0,null
2020-02-16,0,null,0,0,null
2020-02-17,0,null,0,0,null
2020-02-18,0,null,0,0,null
2020-02-19,0,null,0,0,null
2020-02-20,0,null,0,0,null
2020-02-21,0,null,0,0,null
2020-02-22,0,null,0,0,null
2020-02-23,0,null,0,0,null
2020-02-24,0,null,0,0,null
2020-02-25,0,null,0,0,null
2020-02-26,2,null,2,0,null
2020-02-27,2,0,2,0,0
2020-02-28,2,0,2,0,0
2020-02-29,4,2,4,0,0
2020-03-01,4,0,4,0,0
2020-03-02,4,0,4,0,0
2020-03-03,5,1,5,0,0
2020-03-04,5,0,5,0,0
2020-03-05,5,0,5,0,0
2020-03-06,6,1,5,0,0
2020-03-07,6,0,5,0,0
2020-03-08,7,1,6,0,0
2020-03-09,16,9,15,0,0
2020-03-10,19,3,17,0,0
2020-03-11,20,1,18,0,0
2020-03-12,21,1,19,0,0
2020-03-13,28,7,26,0,0
2020-03-14,33,5,31,0,0
2020-03-15,53,20,51,0,0
2020-03-16,184,131,182,0,0
2020-03-17,247,63,245,0,0
2020-03-18,307,60,292,2,2
2020-03-19,454,147,439,2,0
2020-03-20,501,47,485,3,1
2020-03-21,645,144,629,3,0
2020-03-22,776,131,758,5,2
2020-03-23,875,99,856,6,1
2020-03-24,972,97,947,7,1
2020-03-25,1063,91,1034,8,1
2020-03-26,1201,138,1171,9,1
2020-03-27,1373,172,1339,11,2
2020-03-28,1495,122,1454,12,1
2020-03-29,1597,102,1554,14,2
2020-03-30,1717,120,1620,21,7
2020-03-31,1938,221,1836,26,5
2020-04-01,2118,180,1997,27,1
2020-04-02,2421,303,2262,34,7
2020-04-03,2686,265,2520,40,6
2020-04-04,2818,132,2646,41,1
2020-04-05,3157,339,2899,47,6
2020-04-06,3766,609,3454,53,6
2020-04-07,4035,269,3549,57,4
2020-04-08,4263,228,3735,61,4
2020-04-09,4489,226,3852,65,4
2020-04-10,4695,206,3902,66,1
2020-04-11,5011,316,4163,86,20
2020-04-12,5230,219,4111,91,5
2020-04-13,5496,266,4308,93,2
2020-04-14,5837,341,4363,96,3
2020-04-15,6383,546,4826,111,15
2020-04-16,6919,536,5146,128,17
2020-04-17,7025,106,5125,135,7
2020-04-18,7638,613,5663,143,8
2020-04-19,8348,710,6312,168,25
2020-04-20,8892,544,6746,176,8
2020-04-21,9565,673,7291,201,25
2020-04-22,10076,511,7708,212,11
2020-04-23,11057,981,8485,235,23
2020-04-24,11940,883,8932,253,18
2020-04-25,12723,783,9588,269,16
2020-04-26,13328,605,10111,281,12
2020-04-27,13915,587,10594,292,11
2020-04-28,14612,697,11067,312,20
2020-04-29,15525,913,11757,343,31
2020-04-30,16473,948,12007,361,18
2020-05-01,18092,1619,13324,417,56
2020-05-02,19022,930,13832,437,20
2020-05-03,20084,1062,14513,457,20
2020-05-04,20941,857,14830,476,19
2020-05-05,22049,1108,15734,514,38
2020-05-06,23214,1165,16389,544,30
2020-05-07,24644,1430,17595,585,41
2020-05-08,26435,1791,18306,599,14
2020-05-09,28736,2301,20291,636,37
2020-05-10,30334,1598,21612,659,23
2020-05-11,30941,607,22062,667,8
2020-05-12,32674,1733,23395,724,57
2020-05-13,35298,2624,25638,761,37
2020-05-14,35788,490,25323,770,9
2020-05-15,37218,1430,26260,803,33
2020-05-16,38799,1581,27085,834,31
2020-05-17,40151,1352,27937,873,39
2020-05-18,42125,1974,29300,903,30
2020-05-19,43966,1841,30538,939,36
2020-05-20,45898,1932,31812,985,46
2020-05-21,48091,2193,32919,1017,32
2020-05-22,50694,2603,34426,1067,50
2020-05-23,52437,1743,34683,1101,34
2020-05-24,54601,2164,36270,1133,32
2020-05-25,56349,1748,37700,1167,34
2020-05-26,57705,1356,38194,1197,30
2020-05-27,59151,1446,38784,1225,28
2020-05-28,61227,2076,39736,1260,35
2020-05-29,64028,2801,40406,1317,57
2020-05-30,66457,2429,40931,1395,78
2020-05-31,69496,3039,42742,1483,88
2020-06-01,72460,2964,44834,1543,60
2020-06-02,76398,3938,47667,1621,78
2020-06-03,80463,4065,49852,1688,67
2020-06-04,85264,4801,53366,1770,82
2020-06-05,89249,3985,56213,1838,68
2020-06-06,93983,4734,59467,1935,97
