date,total_cases,daily_cases,active_cases,total_deaths,daily_deaths
2020-02-15,2,null,0,0,null
2020-02-16,2,0,0,0,null
2020-02-17,2,0,0,0,null
2020-02-18,2,0,0,0,null
2020-02-19,2,0,0,0,null
2020-02-20,2,0,0,0,0
2020-02-21,2,0,0,0,0
2020-02-22,2,0,0,0,0
2020-02-23,2,0,0,0,0
2020-02-24,3,1,1,0,0
2020-02-25,9,6,7,0,0
2020-02-26,13,4,11,0,0
2020-02-27,25,12,23,0,0
2020-02-28,33,8,31,0,0
2020-02-29,58,25,56,0,0
2020-03-01,84,26,82,0,0
2020-03-02,120,36,118,0,0
2020-03-03,165,45,162,1,1
2020-03-04,228,63,224,2,1
2020-03-05,282,54,276,3,1
2020-03-06,401,119,387,8,5
2020-03-07,525,124,485,10,2
2020-03-08,674,149,625,17,7
2020-03-09,1231,557,1169,30,13
2020-03-10,1695,464,1524,36,6
2020-03-11,2277,582,2039,55,19
2020-03-12,3146,869,2871,86,31
2020-03-13,5232,2086,4906,133,47
2020-03-14,6391,1159,5678,196,63
2020-03-15,7988,1597,7177,294,98
2020-03-16,9942,1954,9070,342,48
2020-03-17,11826,1884,10265,533,191
2020-03-18,14769,2943,13050,638,105
2020-03-19,18077,3308,16139,831,193
2020-03-20,21571,3494,18890,1093,262
2020-03-21,25496,3925,21990,1381,288
2020-03-22,28768,3272,24421,1772,391
2020-03-23,35136,6368,29470,2311,539
2020-03-24,42058,6922,35273,2991,680
2020-03-25,49515,7457,40501,3647,656
2020-03-26,57786,8271,46406,4365,718
2020-03-27,65719,7933,51224,5138,773
2020-03-28,73235,7516,54968,5982,844
2020-03-29,80110,6875,58598,6803,821
2020-03-30,87956,7846,63460,7716,913
2020-03-31,95923,7967,68200,8464,748
2020-04-01,104118,8195,72084,9387,923
2020-04-02,112065,7947,74974,10348,961
2020-04-03,119199,7134,77488,11198,850
2020-04-04,126168,6969,80002,11947,749
2020-04-05,131646,5478,80925,12641,694
2020-04-06,136675,5029,82897,13341,700
2020-04-07,141942,5267,84689,14045,704
2020-04-08,148220,6278,85407,14792,747
2020-04-09,153222,5002,85610,15447,655
2020-04-10,158273,5051,86524,16081,634
2020-04-11,163027,4754,87312,16606,525
2020-04-12,166831,3804,87231,17209,603
2020-04-13,170099,3268,87616,17756,547
2020-04-14,174060,3961,88301,18255,499
2020-04-15,180659,6599,90994,18812,557
2020-04-16,184948,4289,91021,19130,318
2020-04-17,190839,5891,96564,19478,348
2020-04-18,194416,3577,98382,20043,565
2020-04-19,198674,4258,98338,20453,410
2020-04-20,200210,1536,97464,20852,399
2020-04-21,204178,3968,98958,21282,430
2020-04-22,208389,4211,99440,21717,435
2020-04-23,213024,4635,100106,22157,440
2020-04-24,219764,6740,88111,22524,367
2020-04-25,223759,3995,87295,22902,378
2020-04-26,226629,2870,85712,23190,288
2020-04-27,229422,2793,85069,23521,331
2020-04-28,232128,2706,84403,23822,301
2020-04-29,236899,4771,79695,24275,453
2020-04-30,239340,2441,76842,24543,268
2020-05-01,242979,3639,75714,24824,281
2020-05-02,245589,2610,74234,25100,276
2020-05-03,247122,1533,73300,25264,164
2020-05-04,248301,1179,71240,25428,164
2020-05-05,250561,2260,70230,25613,185
2020-05-06,253682,3121,68466,25857,244
2020-05-07,256855,3173,66866,26070,213
2020-05-08,260117,3262,65410,26299,229
2020-05-09,262783,2666,63148,26478,179
2020-05-10,264663,1880,61603,26621,143
2020-05-11,268143,3480,63553,26744,123
2020-05-12,269520,1377,62130,26920,176
2020-05-13,271095,1575,60764,27104,184
2020-05-14,272646,1551,58845,27321,217
2020-05-15,274367,1721,57941,27459,138
2020-05-16,276505,2138,56689,27563,104
2020-05-17,277719,1214,54124,27650,87
2020-05-18,278188,469,53521,27709,59
2020-05-19,278803,615,54067,27778,69
2020-05-20,279524,721,54678,27888,110
2020-05-21,280117,593,55219,27940,52
2020-05-22,281904,1787,56318,28628,688
2020-05-23,282370,466,56734,28678,50
2020-05-24,282852,482,57142,28752,74
2020-05-25,282480,-372,58685,26837,-1915
2020-05-26,283339,859,59264,27117,280
2020-05-27,283849,510,59773,27118,1
2020-05-28,284986,1137,60909,27119,1
2020-05-29,285644,658,61565,27121,2
2020-05-30,286308,664,62225,27125,4
2020-05-31,286509,201,62424,27127,2
