date,total_cases,daily_cases,active_cases,total_deaths,daily_deaths
2020-02-15,15,,12.0,0,
2020-02-16,15,0.0,12.0,0,
2020-02-17,15,0.0,12.0,0,
2020-02-18,15,0.0,12.0,0,
2020-02-19,15,0.0,12.0,0,
2020-02-20,15,0.0,10.0,0,0.0
2020-02-21,35,20.0,29.0,0,0.0
2020-02-22,35,0.0,29.0,0,0.0
2020-02-23,35,0.0,28.0,0,0.0
2020-02-24,53,18.0,48.0,0,0.0
2020-02-25,57,4.0,51.0,0,0.0
2020-02-26,60,3.0,54.0,0,0.0
2020-02-27,60,0.0,54.0,0,0.0
2020-02-28,63,3.0,57.0,0,0.0
2020-02-29,68,5.0,60.0,1,1.0
2020-03-01,75,7.0,65.0,1,0.0
2020-03-02,100,25.0,85.0,6,5.0
2020-03-03,124,24.0,106.0,9,3.0
2020-03-04,158,34.0,138.0,11,2.0
2020-03-05,221,63.0,200.0,12,1.0
2020-03-06,319,98.0,289.0,15,3.0
2020-03-07,435,116.0,401.0,19,4.0
2020-03-08,541,106.0,504.0,22,3.0
2020-03-09,704,163.0,663.0,26,4.0
2020-03-10,994,290.0,949.0,30,4.0
2020-03-11,1301,307.0,1248.0,38,8.0
2020-03-12,1630,329.0,1581.0,41,3.0
2020-03-13,2183,553.0,2126.0,48,7.0
2020-03-14,2771,588.0,2664.0,58,10.0
2020-03-15,3617,846.0,3484.0,73,15.0
2020-03-16,4604,987.0,4434.0,95,22.0
2020-03-17,6357,1753.0,6129.0,121,26.0
2020-03-18,9317,2960.0,9032.0,171,50.0
2020-03-19,13898,4581.0,13548.0,239,68.0
2020-03-20,19551,5653.0,19092.0,309,70.0
2020-03-21,24418,4867.0,23870.0,374,65.0
2020-03-22,33840,9422.0,33150.0,509,135.0
2020-03-23,44189,10349.0,43199.0,689,180.0
2020-03-24,55398,11209.0,54044.0,957,268.0
2020-03-25,68905,13507.0,67231.0,1260,303.0
2020-03-26,86379,17474.0,82872.0,1614,354.0
2020-03-27,105217,18838.0,100548.0,2110,496.0
2020-03-28,124788,19571.0,118766.0,2754,644.0
2020-03-29,144980,20192.0,137133.0,3251,497.0
2020-03-30,168177,23197.0,158563.0,4066,815.0
2020-03-31,193353,25176.0,180900.0,5151,1085.0
2020-04-01,220295,26942.0,204966.0,6394,1243.0
2020-04-02,250708,30413.0,232646.0,7576,1182.0
2020-04-03,283477,32769.0,262257.0,8839,1263.0
2020-04-04,317994,34517.0,292687.0,10384,1545.0
2020-04-05,343747,25753.0,313879.0,11793,1409.0
2020-04-06,375348,31601.0,342203.0,13298,1505.0
2020-04-07,409225,33877.0,371824.0,15526,2228.0
2020-04-08,441569,32344.0,400987.0,17691,2165.0
2020-04-09,475515,33946.0,429785.0,19802,2111.0
2020-04-10,509604,34089.0,460252.0,22038,2236.0
2020-04-11,539942,30338.0,485427.0,24062,2024.0
2020-04-12,567708,27766.0,509285.0,25789,1727.0
2020-04-13,594693,26985.0,530230.0,27515,1726.0
2020-04-14,621953,27260.0,553052.0,30081,2566.0
2020-04-15,652474,30521.0,571061.0,32712,2631.0
2020-04-16,682454,29980.0,590041.0,34905,2193.0
2020-04-17,714822,32368.0,616864.0,37448,2543.0
2020-04-18,743901,29079.0,635718.0,39331,1883.0
2020-04-19,770014,26113.0,656755.0,40901,1570.0
2020-04-20,798145,28131.0,681139.0,42853,1952.0
2020-04-21,824229,26084.0,693408.0,45536,2683.0
2020-04-22,854385,30156.0,718882.0,47894,2358.0
2020-04-23,886274,31889.0,745151.0,50234,2340.0
2020-04-24,925232,38958.0,758423.0,52191,1957.0
2020-04-25,960651,35419.0,783429.0,54256,2065.0
2020-04-26,987160,26509.0,807540.0,55412,1156.0
2020-04-27,1010356,23196.0,808516.0,56795,1383.0
2020-04-28,1035765,25409.0,827574.0,59265,2470.0
2020-04-29,1064194,28429.0,847802.0,61655,2390.0
2020-04-30,1095023,30829.0,870874.0,63856,2201.0
2020-05-01,1131030,36007.0,895106.0,65753,1897.0
2020-05-02,1160774,29744.0,910760.0,67444,1691.0
2020-05-03,1188122,27348.0,931370.0,68597,1153.0
2020-05-04,1212835,24713.0,944350.0,69921,1324.0
2020-05-05,1237633,24798.0,953558.0,72271,2350.0
2020-05-06,1263092,25459.0,963488.0,74799,2528.0
2020-05-07,1292623,29531.0,985979.0,76928,2129.0
2020-05-08,1321785,29162.0,1005811.0,78615,1687.0
2020-05-09,1347309,25524.0,1015164.0,80037,1422.0
2020-05-10,1367638,20329.0,1030515.0,80787,750.0
2020-05-11,1385834,18196.0,1041762.0,81847,1060.0
2020-05-12,1408636,22802.0,1028172.0,83718,1871.0
2020-05-13,1430347,21711.0,1034548.0,85540,1822.0
2020-05-14,1457593,27246.0,1052273.0,87293,1753.0
2020-05-15,1484285,26692.0,1067639.0,88895,1602.0
2020-05-16,1507773,23488.0,1078428.0,90113,1218.0
2020-05-17,1527664,19891.0,1090297.0,90978,865.0
2020-05-18,1550294,22630.0,1101930.0,91981,1003.0
2020-05-19,1570583,20289.0,1113815.0,93533,1552.0
2020-05-20,1592722,22139.0,1125655.0,94936,1403.0
2020-05-21,1620897,28175.0,1138912.0,96347,1411.0
2020-05-22,1644899,24002.0,1111012.0,97645,1298.0
2020-05-23,1666828,21929.0,1117183.0,98678,1033.0
2020-05-24,1686436,19608.0,1129923.0,99293,615.0
2020-05-25,1706226,19790.0,1134716.0,99798,505.0
2020-05-26,1725257,19031.0,1136090.0,100572,774.0
2020-05-27,1745803,20546.0,1143292.0,102107,1535.0
2020-05-28,1768461,22658.0,1154418.0,103330,1223.0
2020-05-29,1793530,25069.0,1169419.0,104542,1212.0
2020-05-30,1816820,23290.0,1176025.0,105557,1015.0
2020-05-31,1837170,20350.0,1131108.0,106195,638.0
2020-06-01,1859323,22153.0,1136982.0,106925,730.0
2020-06-02,1881205,21882.0,1127172.0,108059,1134.0
2020-06-03,1901783,20578.0,1103971.0,109142,1083.0
2020-06-04,1924051,22268.0,1101626.0,110173,1031.0
2020-06-06,1925616,1565.0,1378726.0,110191,18.0
